Country_Name,Country_Code,Currency_Code,Currency_Name,IMF_country,Old_legacy_currency,locking rate
United States,111,USD,United States Dollar,United States,,
United Kingdom,112,GBP,United Kingdom Pound,United Kingdom,,
Guernsey,113,GGP,Guernsey pound,Guernsey,,
Jersey,117,JEP,Jersey pound,Jersey,,
Mann,118,IMP,Manx pound,Isle of Man,,
Austria,122,ATS,Austrian Schilling,Austria,Y,13.7603
Belgium,124,BEF,Belgian Franc,Belgium,Y,40.3399
Belgium-Luxembourg,126,,Belgian Franc,Belgium-Luxembourg,Y,40.3399
Denmark,128,DKK,Danish Krone,Denmark,,
France,132,FRF,French Franc,France,Y,6.55957
French Andorra,133,,French Franc ,French Andorra,Y,6.55957
Germany,134,DEM,German Mark,Germany,Y,1.95583
San Marino,135,,Italian Lira,"San Marino, Rep. of",Y,1936.27
Italy,136,ITL,Italian Lira,Italy,Y,1936.27
Luxembourg,137,LUF,Luxembourg Franc,Luxembourg,Y,40.3399
Netherlands,138,NLG,Dutch Guilder,Netherlands,Y,2.20371
Norway,142,NOK,Norwegian Krone,Norway,,
Sweden,144,SEK,Swedish Krona,Sweden,,
Switzerland,146,CHF,Swiss Franc,Switzerland,,
Canada,156,CAD,Canadian Dollar,Canada,,
Japan,158,JPY,Japanese Yen,Japan,,
Liechtenstein,161,,Swiss Franc,,,
Monaco,162,,French Franc,Monaco,Y,6.55957
Euro area,163,EUR,Euro,Euro Area,,
Finland,172,FIM,Finnish Markka,Finland,Y,5.94573
Greece,174,GRD,Greek Drachma,Greece,Y,340.75
Iceland,176,ISK,Icelandic Krona,Iceland,,
Ireland,178,IEP,Irish Pound,Ireland,Y,0.78756
Malta,181,MTL,Maltese Lira,Malta,Y,0.4293
Portugal,182,PTE,Portuguese Escudo,Portugal,Y,200.482
Balearic Islands,183,,Spanish Peseta,Balearic Islands,Y,166.386
Spain,184,ESP,Spanish Peseta,Spain,Y,166.386
Azores,185,,Portuguese Escudo,Azores,Y,200.482
Turkey,186,TRY,Turkish Lira,Turkey,,
Australia,193,AUD,Australian Dollar,Australia,,
New Zealand,196,NZD,New Zealand Dollar,New Zealand,,
South Africa,199,ZAR,South African Rand,South Africa,,
Argentina,213,ARS,Argentine Peso,Argentina,,
Bolivia,218,BOB,Bolivian Boliviano,Bolivia,,
Brazil,223,BRL,Brazilian Real,Brazil,,
Chile,228,CLP,Chilean Peso,Chile,,
Colombia,233,COP,Colombian Peso,Colombia,,
Costa Rica,238,CRC,Costa Rican Colon,Costa Rica,,
Dominican Republic,243,DOP,Dominican Peso,Dominican Rep.,,
Ecuador,248,ECS,Ecuadorian Sucre,Ecuador,,
El Salvador,253,SVC,Salvadoran Colon,El Salvador,Y,8.75
Guatemala,258,GTQ,Guatemalan Quetzal,Guatemala,,
Haiti,263,HTG,Haitian Gourde,Haiti,,
Puerto Rico,264,,United States Dollar,,,
Honduras,268,HNL,Honduran Lempira,Honduras,,
Mexico,273,MXN,Mexican Peso,Mexico,,
Nicaragua,278,NIO,Nicaraguan Gold Cordoba,Nicaragua,,
Panama,283,PAB,Panamanian Balboa,Panama,,
Paraguay,288,PYG,Paraguayan Guarani,Paraguay,,
Peru,293,PEN,Peruvian Sol,Peru,,
Uruguay,298,UYU,Uruguayan Peso,Uruguay,,
Venezuela,299,VEB,Venezuelan Bolivar,"Venezuela, Rep. Bolivariana de",,
Eastern Caribbean,309,XCD,East Caribbean Dollar,Eastern Caribbean Currency Union (ECCU),,
Antigua and Barbuda,311,,East Caribbean Dollar,Antigua and Barbuda,,
Anguilla,312,,East Caribbean Dollar,Anguilla,,
Bahamas,313,BSD,Bahamian Dollar,"Bahamas, The",,
Aruba,314,AWG,Aruban Guilder,"Aruba, Kingdom of the Netherlands",,
Barbados,316,BBD,Barbadian Dollar,Barbados,,
Bermuda,319,BMD,Bermudian Dollar,Bermuda,,
Dominica,321,,East Caribbean Dollar,Dominica,,
Falkland Islands,323,FKP,United Kingdom Pound,,,
Greenland,326,,Danish Krone,Greenland,,
Grenada,328,,East Caribbean Dollar,Grenada,,
Guadeloupe,329,,French Franc,Guadeloupe,Y,6.55957
"Guiana, French",333,,French Franc,"Guiana, French",Y,6.55957
Guyana,336,GYD,Guyanese Dollar,Guyana,,
Belize,339,BZD,Belizian Dollar,Belize,,
Jamaica,343,JMD,Jamaican Dollar,Jamaica,,
Martinique,349,,French Franc,Martinique,Y,6.55957
Montserrat,351,,East Caribbean Dollar,Montserrat,,
Sint Maarten,352,,Netherlands Antillean Guilder,"Sint Maarten, Kingdom of the Netherlands",,
Netherlands Antilles,353,ANG,Netherlands Antillean Guilder,Curaçao and Sint Maarten,,
Curaçao,354,,Netherlands Antillean Guilder,"Curaçao, Kingdom of the Netherlands",,
Saint Christopher Island,358,,East Caribbean Dollar,,,
St. Kitts & Nevis,361,,East Caribbean Dollar,St. Kitts and Nevis,,
St. Lucia,362,,East Caribbean Dollar,St. Lucia,,
St. Pierre-Miquelon,363,,French Franc,St. Pierre-Miquelon,Y,6.55957
St. Vincent & the Grenadines,364,,East Caribbean Dollar,St. Vincent and the Grenadines,,
Suriname,366,SRD,Surinamese Dollar,Suriname,,
Trinidad & Tobago,369,TTD,Trinidad & Tobago Dollar,Trinidad and Tobago,,
Cayman Islands,377,KYD,Cayman Islands Dollar,Cayman Islands,,
Virgin Islands,382,,United States Dollar,,,
Bahrain,419,BHD,Bahraini Dinar,"Bahrain, Kingdom of",,
Cyprus,423,CYP,Cyprian Pound,Cyprus,Y,0.58527
Iran,429,IRR,Iranian Rial,"Iran, Islamic Rep. of",,
Iraq,433,IQD,Iraqi Dinar,Iraq,,
Israel,436,ILS,Israeli New Shekel,Israel,,
Jordan,439,JOD,Jordanian Dinar,Jordan,,
Kuwait,443,KWD,Kuwaiti Dinar,Kuwait,,
Lebanon,446,LBP,Lebanese Pound,Lebanon,,
Oman,449,OMR,Omani Rial,Oman,,
Qatar,453,QAR,Qatari Riyal,Qatar,,
Saudi Arabia,456,SAR,Saudi Arabian Riyal,Saudi Arabia,,
Syrian Arab Republic,463,SYP,Syrian Pound,Syrian Arab Rep.,,
United Arab Emirates,466,AED,United Arab Emirates Dirham,United Arab Emirates,,
Egypt,469,EGP,Egyptian Pound,"Egypt, Arab Rep. of",,
"Yemen, Republic of",474,YER,Yemeni Rial,"Yemen, Rep. of",,
Palestinian National Authority,487,,Israeli New Shekel,,,
Afghanistan,512,AFN,Afghan Afghani,"Afghanistan, Islamic Rep. of",,
Bangladesh,513,BDT,Bangladeshi Taka,Bangladesh,,
Bhutan,514,BTN,Bhutanese Ngultrum,Bhutan,,
Brunei Darussalam,516,BND,Brunei Darassalam Dollar,Brunei Darussalam,,
Myanmar,518,MMK,Myanmar Kyat,Myanmar,,
Cambodia,522,KHR,Cambodian Riel,Cambodia,,
Sri Lanka,524,LKR,Sri Lankan Rupee,Sri Lanka,,
Taiwan,528,TWD,Taiwanese Dollar,Taiwan Province of China,,
Hong Kong,532,HKD,Hong Kong Dollar,"China, P.R.: Hong Kong",,
India,534,INR,Indian Rupee,India,,
Indonesia,536,IDR,Indonesian Rupiah,Indonesia,,
Korea,542,KRW,South Korean Won,"Korea, Rep. of",,
Lao,544,LAK,Laotian Kip,Lao People's Dem. Rep.,,
Macao,546,MOP,Macao Pataca,"China, P.R.: Macao",,
Malaysia,548,MYR,Malaysian Ringgit,Malaysia,,
Maldives,556,MVR,Maldivian Rufiyaa,Maldives,,
Nepal,558,NPR,Nepalese Rupee,Nepal,,
Pakistan,564,PKR,Pakistani Rupee,Pakistan,,
Palau,565,,United States Dollar,"Palau, Rep. of",,
Philippines,566,PHP,Philippine Peso,Philippines,,
Singapore,576,SGD,Singaporean Dollar,Singapore,,
Thailand,578,THB,Thai Baht,Thailand,,
Vietnam,582,VND,Vietnamese Dong,Vietnam,,
Djibouti,611,DJF,Djiboutian Franc,Djibouti,,
Algeria,612,DZD,Algerian Dinar,Algeria,,
Angola,614,AOA,Angolan Kwanza,Angola,,
Botswana,616,BWP,Botswana Pula,Botswana,,
Burundi,618,BIF,Burundian Franc,Burundi,,
Cameroon,622,,Central African CFA Franc (BEAC),Cameroon,,
Cape Verde,624,CVE,Cape Verdean Escudo,Cabo Verde,,
Central African Rep.,626,XAF,Central African CFA Franc (BEAC),Central African Rep.,,
Chad,628,,Central African CFA Franc (BEAC),Chad,,
Comoros,632,KMF,Comoran Franc,"Comoros, Union of the",,
"Congo, Republic Of",634,,Central African CFA Franc (BEAC),"Congo, Rep. of",,
"Congo, Dem. Rep. Of",636,CDF,Congo (DRC) Francs,"Congo, Dem. Rep. of the",,
Benin,638,,West African CFA franc,Benin,,
Equatorial Guinea,642,,Central African CFA Franc (BEAC),"Equatorial Guinea, Rep. of",,
Eritrea,643,ERN,Eritrean Nakfa,"Eritrea, The State of",,
Ethiopia,644,ETB,Ethiopian Birr,"Ethiopia, The Federal Dem. Rep. of",,
Gabon,646,,Central African CFA Franc (BEAC),Gabon,,
Gambia,648,GAD,Gambian Dalasi,"Gambia, The",,
Ghana,652,GHC,Ghanaian Cedi,Ghana,,
Guinea-Bissau,654,,West African CFA franc,Guinea-Bissau,,
Guinea,656,GNF,Guinean Franc,Guinea,,
Ivory Coast,662,,West African CFA franc,Côte d'Ivoire,,
Kenya,664,KES,Kenyan Shilling,Kenya,,
Lesotho,666,LSL,Lesotho Loti,"Lesotho, Kingdom of",,
Liberia,668,LRD,Liberian Dollar,Liberia,,
Libya,672,LYD,Libyan Dinar,Libya,,
Madagascar,674,MGA,Malagasy Ariary,"Madagascar, Rep. of",,
Malawi,676,MWK,Malawian Kwacha,Malawi,,
Mali,678,,West African CFA franc,Mali,,
Mauritania,682,MRU,Mauritanian Ouguiya,"Mauritania, Islamic Rep. of",,
Mauritius,684,MUR,Mauritian Rupee,Mauritius,,
Morocco,686,MAD,Moroccan Dirham,Morocco,,
Mozambique,688,MZN,Mozambican Metical,"Mozambique, Rep. of",,
Niger,692,,West African CFA franc,Niger,,
Nigeria,694,NGN,Nigerian Naira,Nigeria,,
Reunion,696,,French Franc,Reunion,Y,6.55957
Zimbabwe,698,ZWL,Zimbabwean Dollar,Zimbabwe,,
Rwanda,714,RWF,Rwandan Franc,Rwanda,,
São Tomé and Príncipe,716,STN,Sao Tome and Principe Dobra,"São Tomé and Príncipe, Dem. Rep. of",,
Seychelles,718,SCR,Seychelles Rupee,Seychelles,,
Senegal,722,,West African CFA franc,Senegal,,
Sierra Leone,724,SLL,Sierra Leonean Leone,Sierra Leone,,
Somalia,726,SOS,Somali Shilling,Somalia,,
Namibia,728,NAD,Namibian Dollar,Namibia,,
Sudan,732,SDD,Sudanese Dinar,Sudan,,
South Sudan,733,SSP,South Sudanese pound,"South Sudan, Rep. of",,
Swaziland,734,SZL,Swazi Lilangeni,"Eswatini, Kingdom of",,
Tanzania,738,TZS,Tanzanian Shilling,"Tanzania, United Rep. of",,
Togo,742,,West African CFA franc,Togo,,
Tunisia,744,TND,Tunisian Dinar,Tunisia,,
Uganda,746,UGX,Ugandan Shilling,Uganda,,
Burkina Faso,748,,West African CFA franc,Burkina Faso,,
Zambia,754,ZMW,Zambian Kwacha,Zambia,,
Cemac,758,,Central African CFA Franc (BEAC),Central African Economic and Monetary Community,,
Waemu,759,XOF,West African CFA franc,West African Economic and Monetary Union (WAEMU),,
African French,795,,Central African CFA Franc (BEAC),,,
Spanish Africa,797,,Spanish Peseta,Spanish Africa,Y,166.386
Solomon Islands,813,SBD,Solomon Islands Dollar,Solomon Islands,,
Cook Islands,815,,New Zealand Dollar,,,
Faroe Islands,816,FOK,Danish Krone,Faroe Islands,,
Fiji,819,FJD,Fijian Dollar,"Fiji, Rep. of",,
Gibraltar,823,GIP,Gibraltarian Pound,Gibraltar,,
Kiribati,826,,Australian Dollar,Kiribati,,
Guam,829,,United States Dollar,,,
Nauru,836,,Australian Dollar,"Nauru, Rep. of",,
New Caledonia,839,,CFP franc,New Caledonia,,
Vanuatu,846,VUV,Vanuatuan Vatu,Vanuatu,,
Papua New Guinea,853,PGK,Papua New Guinean Kina,Papua New Guinea,,
St. Helena,856,SHP,United Kingdom Pound,,,
American Samoa,859,,United States Dollar,,,
Samoa,862,WST,Samoan Tala,Samoa,,
Tonga,866,TOP,Tongan Pa'anga,Tonga,,
Marshall Islands,867,,United States Dollar,,,
Micronesia,868,,United States Dollar,"Micronesia, Federated States of",,
Tuvalu,869,,Australian Dollar,,,
Wallis and Futuna,878,,CFP franc,,,
French Polynesia,887,XPF,CFP franc,French Polynesia,,
Armenia,911,AMA,Armenian Dram,"Armenia, Rep. of",,
Azerbaijan,912,AZN,Azerbaijanian Manat,"Azerbaijan, Rep. of",,
Belarus,913,BYR,Belarusian Ruble New,"Belarus, Rep. of",,
Albania,914,ALL,Albanian Lek,Albania,,
Georgia,915,GEL,Georgian Lari,Georgia,,
Kazakhstan,916,KZT,Kazakh Tenge,"Kazakhstan, Rep. of",,
Kyrgyz Republic,917,KGS,Kyrgyz Som,Kyrgyz Rep.,,
Bulgaria,918,BGN,Bulgarian Lev,Bulgaria,,
Moldova,921,MDL,Moldovan Leu,"Moldova, Rep. of",,
Russia,922,RUB,Russian Federation Ruble,Russian Federation,,
Tajikistan,923,TJS,Tajik Somoni,"Tajikistan, Rep. of",,
China,924,CNY,Chinese Yuan Renminbi,"China, P.R.: Mainland",,
Turkmenistan,925,TMT,Turkmenian Manat,,,
Ukraine,926,UAH,Ukrainian Hryvnia,Ukraine,,
Uzbekistan,927,UZS,Uzbek Som,"Uzbekistan, Rep. of",,
Cuba,928,CUC,United States Dollar,,,
Czech Republic,935,CZK,Czech Koruna,Czech Rep.,,
Slovak Republic,936,SKK,Slovak Koruna,Slovak Rep.,Y,30.126
Estonia,939,EEK,Estonian Kroon,"Estonia, Rep. of",Y,15.6466
Latvia,941,LVL,Latvian Lat,Latvia,Y,0.7028
Serbia,942,RSD,Serbian Dinar,"Serbia, Rep. of",,
Montenegro,943,,Euro,Montenegro,Y,1
Hungary,944,HUF,Hungarian Forint,Hungary,,
Lithuania,946,LTL,Lithuanian Lita,Lithuania,Y,3.4528
Mongolia,948,MNT,Mongolian Tugrik,Mongolia,,
North Korea,954,KPW,North Korean won,,,
Croatia,960,HRK,Croatian Kuna,"Croatia, Rep. of",,
Slovenia,961,SIT,Slovenian Tolar,"Slovenia, Rep. of",Y,239.64
North Macedonia,962,MKD,North Macedonian Denar,"North Macedonia, Republic of",,
Bosnia & Herzegovina,963,BAM,Bosnia-Herzegovina Convertible Mark,Bosnia and Herzegovina,,
Poland,964,PLN,Polish Zloty,"Poland, Rep. of",,
Kosovo,967,,Euro,"Kosovo, Rep. of",Y,1
Romania,968,RON,Romanian Leu,Romania,,
International Monetary Fund (IMF) SDRs,1,XDR,Special Drawing Right,International Monetary Fund (IMF) SDRs,S,
Timor-Leste,B11,,United States Dollar,"Timor-Leste, Dem. Rep. of",,
Mayotte,B32,,French Franc,Mayotte,Y,6.55957
Andora,B33,,Spanish Peseta,Andora,Y,166.386
Vatican City,B36,,Italian Lira,Vatican City,Y,1936.27
French Pacific Island,B39,,CFP franc,,,
Bouvet Island,B42,,Norwegian Krone,,,
Madeira,B82,,Portuguese Escudo,Madeira,Y,200.482
Canary Islands,B84,,Spanish Peseta,Canary Islands,Y,166.386
Western Sahara,B86,,Moroccan Dirham,,,
Cocos (Keeling) Islands,B93,,Austrian Schilling,Austria,Y,13.7603
Pitcairn Islands,B96,,New Zealand Dollar,,,
Claims in Australian dollars,AUS,,,,,
Total Foreign Exchange Reserves,C,,,,,
Allocated Reserves,CALC,,,,,
Claims in Canadian dollars,CAN,,,,,
Claims in Swiss francs,CCHF,,,,,
Claims in euro,CEUR,,,,,
Claims in Chinese renminbi,CCNY,,,,,
Claims in pounds sterling,CGBP,,,,,
Claims in Japanese yen,CJPY,,,,,
Claims in other currencies,COTC,,,,,
Unallocated Reserves,CUNC,,,,,
Claims in U.S. dollars,CUSD,,,,,
Shares of Allocated Reserves,CALC_,,,,,
Shares of U.S. dollars,CUSD_,,,,,
Shares of euro,CEUR_,,,,,
Shares of Chinese renminbi,CCNY_,,,,,
Shares of Japanese yen,CJPY_,,,,,
Shares of pounds sterling,CGBP_,,,,,
Shares of Australian dollars,AUS_,,,,,
Shares of Canadian dollars,CAN_,,,,,
Shares of Swiss francs,CCHF_,,,,,
Shares of other currencies,COTC_,,,,,
Shares of Unallocated Reserves,CUNC_,,,,,
ECU,ECU,,Euro,,,
